itemid,charthour,records,share
220045,0,101408,0.041456775931129945
220045,1,99559,0.04070088311501426
220045,2,101091,0.041327182625176095
220045,3,99420,0.040644058290006106
220045,4,101496,0.04149275135991209
220045,5,98967,0.04045886659411622
220045,6,98328,0.040197635923754985
220045,7,96901,0.039614261641117296
220045,8,105000,0.042925227524146466
220045,9,101851,0.041637879510112774
220045,10,101049,0.04131001253416644
220045,11,100206,0.040965384278901146
220045,12,106135,0.04338922879309795
220045,13,106112,0.04337982612421171
220045,14,107523,0.043956659419798094
220045,15,105745,0.04322979223372255
220045,16,107250,0.043845053828235316
220045,17,104113,0.0425626115544901
220045,18,102169,0.04176788162775733
220045,19,96793,0.039570109978521034
220045,20,103598,0.04235207353377643
220045,21,100985,0.04128384858596124
220045,22,101169,0.04135906993705118
220045,23,99246,0.04057292505582324
220046,0,18240,0.06955938098252626
220046,1,3920,0.014949165211156959
220046,2,3774,0.014392385078292439
220046,3,2982,0.011372043535630115
220046,4,11864,0.045244106139073
220046,5,2540,0.00968644888682109
220046,6,2510,0.009572042010205093
220046,7,8340,0.031805111699247206
220046,8,67958,0.25916208403566443
220046,9,4213,0.016066539039439862
220046,10,2960,0.01128814515944505
220046,11,3294,0.012561875052436486
220046,12,14202,0.05416021539001304
220046,13,4169,0.015898742287069736
220046,14,4676,0.017832218501880086
220046,15,4412,0.01682543798765931
220046,16,14256,0.054366147767921834
220046,17,5192,0.019800016779675238
220046,18,6146,0.023438155456063946
220046,19,7422,0.02830426127479769
220046,20,52296,0.1994340673170062
220046,21,6404,0.02442205459496152
220046,22,5484,0.020913577045404277
220046,23,4968,0.018945778767609125
220047,0,18271,0.06963139682007348
220047,1,3930,0.014977362459793595
220047,2,3784,0.01442095153889541
220047,3,2988,0.01138736870988887
220047,4,11888,0.04530556868244943
220047,5,2542,0.00968764767755606
220047,6,2517,0.009592371834936508
220047,7,8343,0.03179545419899694
220047,8,67978,0.2590664491836766
220047,9,4229,0.01611686153752344
220047,10,2966,0.011303525968383665
220047,11,3303,0.012587844326895227
220047,12,14225,0.05421195445052516
220047,13,4177,0.01591868778487477
220047,14,4685,0.017854692906904068
220047,15,4424,0.016860013109955944
220047,16,14259,0.054341529596487755
220047,17,5190,0.01977926492781902
220047,18,6151,0.023441668318114606
220047,19,7422,0.028285492156892637
220047,20,52273,0.19921416485007393
220047,21,6406,0.02441348191283404
220047,22,5483,0.02089589780332017
220047,23,4962,0.018910349243128705
220277,0,99696,0.0417443385371393
220277,1,97554,0.040847448259228925
220277,2,99110,0.041498970795376705
220277,3,97762,0.04093454124606616
220277,4,100085,0.04190721917117624
220277,5,97262,0.0407251831046305
220277,6,96498,0.04040528386451681
220277,7,95004,0.03977972173790705
220277,8,103174,0.043200633768965754
220277,9,99466,0.04164803379207889
220277,10,98591,0.04128165704456649
220277,11,97686,0.04090271880856794
220277,12,103456,0.043318711760735464
220277,13,102694,0.04299964995318752
220277,14,104148,0.04360846342848242
220277,15,102388,0.042871522770628896
220277,16,104218,0.04363777356828341
220277,17,100750,0.04218566549928567
220277,18,98810,0.0413733559105153
220277,19,94400,0.03952681710305277
220277,20,101143,0.0423502209984541
220277,21,98397,0.04120042608568945
220277,22,98812,0.041374193343081046
220277,23,97148,0.04067744944838317
223769,0,17822,0.06898633976023938
223769,1,3869,0.014976329734730454
223769,2,3696,0.01430667218908342
223769,3,2922,0.011310632071564328
223769,4,11520,0.044592225004935336
223769,5,2464,0.009537781459388947
223769,6,2465,0.009541652312253958
223769,7,8278,0.03204292001656725
223769,8,67297,0.2604967852566956
223769,9,4169,0.016137585594233977
223769,10,2899,0.011221602455669057
223769,11,3235,0.012522209018313005
223769,12,13889,0.05376227544214817
223769,13,4095,0.015851142482223107
223769,14,4597,0.017794310620459004
223769,15,4324,0.016737567788310797
223769,16,13909,0.0538396924994484
223769,17,5105,0.019760703875884973
223769,18,6015,0.023283179983045663
223769,19,7371,0.028532056468001596
223769,20,51867,0.20076952554956434
223769,21,6302,0.024394114755304036
223769,22,5340,0.020670354299162735
223769,23,4891,0.01893234136277246
223770,0,18056,0.06939650865150315
223770,1,3884,0.01492778243256747
223770,2,3721,0.014301307526154366
223770,3,2948,0.011330355976109398
223770,4,11690,0.044929396662387676
223770,5,2488,0.009562389982550944
223770,6,2484,0.009547016365215653
223770,7,8295,0.03188103894905952
223770,8,67802,0.2605905006418485
223770,9,4206,0.016165358628058388
223770,10,2928,0.011253487889432943
223770,11,3261,0.012533341532595912
223770,12,14028,0.05391527599486521
223770,13,4136,0.015896320324690797
223770,14,4641,0.017837239513271274
223770,15,4359,0.016753399491133265
223770,16,14007,0.05383456450385493
223770,17,5136,0.019739724658513525
223770,18,6052,0.023260283028295144
223770,19,7389,0.02839891462261613
223770,20,52036,0.1999953879147994
223770,21,6341,0.024371026880769912
223770,22,5381,0.020681358720300094
223770,23,4917,0.018898019109406347
223934,0,45585,0.10955931127967006
223934,1,6114,0.014694430825137715
223934,2,6848,0.016458531614416596
223934,3,5405,0.01299041521260539
223934,4,41588,0.0999528932214307
223934,5,5381,0.012932733442928696
223934,6,4626,0.011118161105182708
223934,7,4855,0.011668541324181159
223934,8,70422,0.16925273267383845
223934,9,6243,0.015004470337149944
223934,10,4639,0.011149405397090917
223934,11,4767,0.011457041502033282
223934,12,40085,0.09634057239542776
223934,13,6338,0.015232794008786856
223934,14,7145,0.017172343514165682
223934,15,6911,0.016609946259817918
223934,16,38932,0.0935694440438766
223934,17,8324,0.020005960449533258
223934,18,8826,0.0212124707986041
223934,19,6450,0.015501975600611426
223934,20,61594,0.1480354550610946
223934,21,9541,0.022930906853555602
223934,22,8786,0.02111633451580961
223934,23,6671,0.01603312856305098
223935,0,35060,0.11117981892847516
223935,1,4743,0.015040669742662797
223935,2,5171,0.01639791339643882
