careunit,hour,records,share
Cardiac Vascular Intensive Care Unit (CVICU),0,14911,0.039771681581158395
Cardiac Vascular Intensive Care Unit (CVICU),1,14539,0.03877945667684675
Cardiac Vascular Intensive Care Unit (CVICU),2,14413,0.038443380499579904
Cardiac Vascular Intensive Care Unit (CVICU),3,14273,0.03806996252483896
Cardiac Vascular Intensive Care Unit (CVICU),4,14334,0.038232666070976085
Cardiac Vascular Intensive Care Unit (CVICU),5,14227,0.037947268047424085
Cardiac Vascular Intensive Care Unit (CVICU),6,14101,0.03761119187015723
Cardiac Vascular Intensive Care Unit (CVICU),7,13993,0.03732312657535708
Cardiac Vascular Intensive Care Unit (CVICU),8,14721,0.039264900044009975
Cardiac Vascular Intensive Care Unit (CVICU),9,13548,0.036136190869930515
Cardiac Vascular Intensive Care Unit (CVICU),10,11117,0.02965205446567889
Cardiac Vascular Intensive Care Unit (CVICU),11,11704,0.03121774268834269
Cardiac Vascular Intensive Care Unit (CVICU),12,15449,0.04120667351266287
Cardiac Vascular Intensive Care Unit (CVICU),13,17965,0.04791752797300722
Cardiac Vascular Intensive Care Unit (CVICU),14,19126,0.05101422989210888
Cardiac Vascular Intensive Care Unit (CVICU),15,19571,0.05220116559753544
Cardiac Vascular Intensive Care Unit (CVICU),16,19594,0.052262512836242885
Cardiac Vascular Intensive Care Unit (CVICU),17,18978,0.05061947374738274
Cardiac Vascular Intensive Care Unit (CVICU),18,18119,0.04832828774522225
Cardiac Vascular Intensive Care Unit (CVICU),19,16916,0.0451195604336983
Cardiac Vascular Intensive Care Unit (CVICU),20,16966,0.04525292399610578
Cardiac Vascular Intensive Care Unit (CVICU),21,15933,0.04249763279676727
Cardiac Vascular Intensive Care Unit (CVICU),22,15446,0.04119867169891842
Cardiac Vascular Intensive Care Unit (CVICU),23,14971,0.03993171785604737
Coronary Care Unit (CCU),0,10961,0.04245783655224239
Coronary Care Unit (CCU),1,10774,0.04173348517597478
Coronary Care Unit (CCU),2,10825,0.04193103555132049
Coronary Care Unit (CCU),3,10729,0.04155917602125797
Coronary Care Unit (CCU),4,10769,0.041714117492117356
Coronary Care Unit (CCU),5,10587,0.04100913379970716
Coronary Care Unit (CCU),6,10333,0.04002525545975008
Coronary Care Unit (CCU),7,9742,0.037735995227802695
Coronary Care Unit (CCU),8,10875,0.042124712389894715
Coronary Care Unit (CCU),9,10762,0.04168700273471696
Coronary Care Unit (CCU),10,10770,0.04171799102888884
Coronary Care Unit (CCU),11,10935,0.04235712459618379
Coronary Care Unit (CCU),12,11078,0.04291104035450609
Coronary Care Unit (CCU),13,10934,0.04235325105941231
Coronary Care Unit (CCU),14,10893,0.04219443605178144
Coronary Care Unit (CCU),15,10724,0.04153980833740055
Coronary Care Unit (CCU),16,10704,0.04146233760197086
Coronary Care Unit (CCU),17,10594,0.04103624855710755
