hospitalid,patientunitstayid,resp_rate,spo2,nurse
63,192042.0,26.0,43.0,48.0
66,196206.0,42.0,49.0,51.5
71,193818.0,28.0,41.0,41.0
73,192972.0,35.0,44.0,45.0
79,274110.0,40.0,43.0,42.0
110,366765.5,7.0,17.0,20.0
122,367332.0,25.0,25.0,26.0
141,477974.0,24.0,24.0,24.0
142,478938.0,25.0,25.0,25.0
144,479833.0,23.0,23.0,24.0
146,747068.0,23.0,26.0,25.0
148,742617.0,32.0,33.0,32.0
152,748045.5,34.0,37.0,35.5
154,753441.5,32.0,33.0,33.0
157,729156.0,42.0,41.0,44.0
165,743868.0,39.0,39.0,39.0
167,741004.0,42.0,41.0,43.0
171,740281.5,27.0,28.0,27.0
176,736724.0,35.0,35.0,35.0
181,970464.0,47.5,43.0,48.0
183,969918.0,24.0,26.0,26.0
184,970639.5,34.0,35.0,35.0
188,1019592.0,24.0,23.0,24.0
195,1064183.0,28.0,34.0,33.0
197,1064380.5,25.0,28.0,29.0
199,1106710.5,24.0,32.0,24.0
202,1106975.5,27.0,30.0,27.0
206,1104222.0,27.0,32.0,27.0
208,1173779.0,12.0,12.0,12.0
226,1340387.0,36.0,36.0,36.0
227,1340249.0,33.0,32.0,32.0
243,1494370.5,30.0,30.0,29.0
244,1493775.0,22.0,22.0,21.0
248,1574272.0,48.0,45.0,45.0
252,1574335.0,29.0,31.0,28.5
264,1655351.0,35.0,34.0,36.0
272,1790050.0,3.0,3.0,3.0
277,1789173.5,4.0,4.0,4.0
280,1789664.0,3.0,3.0,3.0
281,1790757.5,3.0,3.0,3.0
283,1788063.0,3.0,3.0,4.0
300,2128786.0,29.0,30.0,30.0
301,2127498.5,6.0,6.0,7.0
307,2129666.5,50.0,51.0,53.0
310,2128050.0,46.0,47.0,48.0
318,2120690.0,51.0,2.0,52.0
331,2402517.0,38.0,43.0,49.0
336,2409372.0,61.0,72.0,74.0
338,2407888.5,63.0,65.0,65.0
345,2408873.0,58.0,57.0,59.5
384,2778621.5,49.0,1.0,51.0
388,2790565.0,58.0,1.0,57.0
390,2782540.5,46.0,1.0,45.0
394,2791174.5,31.0,30.0,30.0
400,2785418.0,87.0,1.0,88.0
416,3016462.0,6.0,7.0,6.0
417,3016838.5,7.0,6.0,9.0
420,3081413.0,26.0,26.0,27.0
435,3144941.0,33.0,30.0,33.0
440,3145855.5,22.0,21.0,23.0
443,3180124.0,27.0,28.0,27.0
444,3223747.5,17.0,4.0,18.0
449,3224361.0,32.0,32.0,33.0
452,3223209.0,88.0,86.0,90.0
458,3340496.5,30.0,31.0,31.0
