hospitalid,n_stays,peak_bin,peak_hour,peak_rate
63,785,02-04,2,0.012345679012345678
66,563,12-14,12,0.03571428571428571
71,551,20-22,20,0.041666666666666664
73,5068,10-12,10,0.02112676056338028
79,908,10-12,10,0.07142857142857142
110,1326,14-16,14,0.08333333333333333
122,2301,02-04,2,0.014492753623188406
141,1183,00-02,0,0.0
142,1313,02-04,2,0.007194244604316547
144,505,00-02,0,0.01818181818181818
146,782,12-14,12,0.13043478260869565
148,1404,12-14,12,0.023255813953488372
152,736,02-04,2,0.014925373134328358
154,741,04-06,4,0.015384615384615385
157,902,16-18,16,0.02912621359223301
165,1259,00-02,0,0.016260162601626018
167,2566,14-16,14,0.015151515151515152
171,1072,18-20,18,0.06976744186046512
176,1870,14-16,14,0.013333333333333334
181,649,00-02,0,0.0
183,1235,14-16,14,0.07446808510638298
184,665,00-02,0,0.0
188,2693,00-02,0,0.0
195,737,18-20,18,0.09278350515463918
197,811,14-16,14,0.1267605633802817
199,2847,10-12,10,0.06086956521739131
202,532,14-16,14,0.022222222222222223
206,656,12-14,12,0.02702702702702703
208,2428,16-18,16,0.014760147601476014
226,924,18-20,18,0.05454545454545454
227,1055,20-22,20,0.058823529411764705
243,3113,16-18,16,0.059006211180124224
244,820,08-10,8,0.09523809523809523
248,1267,00-02,0,0.0
252,2526,00-02,0,0.0
264,4080,08-10,8,0.004366812227074236
269,517,18-20,18,0.9863013698630136
271,631,00-02,0,1.0
272,829,10-12,10,1.0
277,1056,14-16,14,1.0
280,836,10-12,10,1.0
281,1950,20-22,20,0.995850622406639
282,577,04-06,4,1.0
283,1504,14-16,14,0.9859154929577465
300,2684,00-02,0,0.0
301,636,16-18,16,0.28865979381443296
307,1277,00-02,0,0.0
310,844,16-18,16,0.014705882352941176
318,781,02-04,2,0.015873015873015872
331,1282,10-12,10,0.017543859649122806
336,731,00-02,0,0.0
338,3159,12-14,12,0.006578947368421052
345,1331,10-12,10,0.013888888888888888
384,638,00-02,0,0.0
388,771,00-02,0,0.0
390,932,00-02,0,0.0
392,566,00-02,0,0.0
394,1417,00-02,0,0.0
400,1192,00-02,0,0.0
411,1793,00-02,0,0.0035971223021582736
413,1327,12-14,12,0.029411764705882353
416,1458,16-18,16,0.398989898989899
417,1307,12-14,12,0.20408163265306123
420,3765,12-14,12,0.005494505494505495
435,974,00-02,0,0.0
440,1165,14-16,14,0.04040404040404041
443,2331,00-02,0,0.0
444,872,12-14,12,0.030303030303030304
449,1639,00-02,0,0.0
452,575,02-04,2,0.0196078431372549
458,2827,10-12,10,0.006172839506172839
