bin,OR,lo,hi,p,model,exposure,restriction
14-16,1.605828048479759,1.389219518546022,1.8562104022143306,1.4868986782047072e-10,contaminated / all stays,contaminated,all stays
16-18,1.3660778038771402,1.2593036883996582,1.4819051063189885,5.803427478966036e-14,contaminated / all stays,contaminated,all stays
12-14,1.3473211490771837,1.0451918969559495,1.7367856410268063,0.021383555693909206,contaminated / all stays,contaminated,all stays
10-12,1.171677793045135,0.8689359799174133,1.5798964278652572,0.2988829242994602,contaminated / all stays,contaminated,all stays
08-10,0.8903605620178651,0.6441032991676965,1.2307683121964152,0.48205625809564534,contaminated / all stays,contaminated,all stays
20-22,0.7431342547208091,0.6961254116415306,0.7933175708055209,5.370184644292181e-19,contaminated / all stays,contaminated,all stays
22-24,0.5985871749731221,0.5568662367419651,0.6434338848385444,4.660340933093905e-44,contaminated / all stays,contaminated,all stays
06-08,0.5604167413732483,0.3960904227439998,0.7929172380277347,0.0010738266609591617,contaminated / all stays,contaminated,all stays
00-02,0.41225738509333837,0.34453647796971265,0.4932892811974977,3.731091548197282e-22,contaminated / all stays,contaminated,all stays
04-06,0.3990507912581716,0.2827670417360649,0.5631545070673728,1.7219283893694955e-07,contaminated / all stays,contaminated,all stays
02-04,0.3224508817669234,0.23600273515507722,0.44056511075579186,1.1818444050516242e-12,contaminated / all stays,contaminated,all stays
14-16,1.4133795015967776,1.1804838134832831,1.6922227926526707,0.0001658386720450751,contaminated / completed 24h,contaminated,completed 24h
12-14,1.2273290804300216,0.9662468830443282,1.5589563062011937,0.09323129764075627,contaminated / completed 24h,contaminated,completed 24h
02-04,1.0922930095448338,0.9713741088689136,1.2282641752617673,0.14027465130163402,contaminated / completed 24h,contaminated,completed 24h
16-18,1.0811264426424112,0.9786396391028188,1.1943460475933507,0.12477082395875383,contaminated / completed 24h,contaminated,completed 24h
22-24,1.0532378334255406,0.9624530658023276,1.1525860046320027,0.2593917761617558,contaminated / completed 24h,contaminated,completed 24h
20-22,1.0531792838513858,0.965708498185283,1.1485728933917976,0.2415108446431694,contaminated / completed 24h,contaminated,completed 24h
00-02,1.0405296138497344,0.9425576963752926,1.1486849892180864,0.43102027986378544,contaminated / completed 24h,contaminated,completed 24h
10-12,1.0236449447768883,0.8831392728005811,1.1865047849637302,0.7563817988930646,contaminated / completed 24h,contaminated,completed 24h
06-08,0.9985963363607484,0.8692617713180577,1.14717416076065,0.9841645128024145,contaminated / completed 24h,contaminated,completed 24h
04-06,0.9798225295815917,0.86189669304099,1.113883133822409,0.7553848776726517,contaminated / completed 24h,contaminated,completed 24h
08-10,0.8857245165148184,0.7621072502637409,1.0293930662435185,0.11359472602968756,contaminated / completed 24h,contaminated,completed 24h
16-18,1.0840752080359977,0.9805712861294379,1.1985044568428858,0.11485284285789174,clean / all stays,clean,all stays
14-16,1.0159319794503083,0.9070411929927007,1.1378951637956398,0.7846571411811212,clean / all stays,clean,all stays
20-22,0.9399117886195509,0.8736372452227218,1.0112139508896327,0.0967028317634472,clean / all stays,clean,all stays
22-24,0.8602804826006959,0.7759979914442037,0.9537170416721371,0.00422633289927649,clean / all stays,clean,all stays
00-02,0.8293643221377671,0.7063804663967355,0.9737601923560452,0.022332641669695775,clean / all stays,clean,all stays
12-14,0.7915081704825234,0.66603730042679,0.9406157636203647,0.007926665079473661,clean / all stays,clean,all stays
08-10,0.7592872465321288,0.600600306873519,0.959901478817844,0.021330294446577573,clean / all stays,clean,all stays
10-12,0.7551057286255441,0.6015062450358786,0.9479280823910707,0.01548478984942185,clean / all stays,clean,all stays
04-06,0.6861959413963817,0.5434714313563308,0.8664022482538568,0.0015491628085067585,clean / all stays,clean,all stays
02-04,0.6815995254295758,0.5453696512535644,0.8518587567129252,0.0007536136387191731,clean / all stays,clean,all stays
06-08,0.6777318651221645,0.5313083438707342,0.8645083148058357,0.0017343689371549413,clean / all stays,clean,all stays
16-18,1.0252462380127132,0.9164589522100143,1.1469470029448148,0.663089360335211,clean / completed 24h,clean,completed 24h
00-02,0.9783857804249535,0.873997726198917,1.0952416770016666,0.7042504829586653,clean / completed 24h,clean,completed 24h
20-22,0.9578708393407189,0.8931439204179816,1.0272885745333247,0.22790911491133603,clean / completed 24h,clean,completed 24h
14-16,0.946714742306125,0.8131719370134467,1.1021885563236449,0.48030418122227714,clean / completed 24h,clean,completed 24h
08-10,0.8795582057349833,0.7565487391402907,1.022568140361789,0.09499440261615189,clean / completed 24h,clean,completed 24h
22-24,0.8732779661402221,0.7794447184818598,0.9784073046660224,0.01947305451270169,clean / completed 24h,clean,completed 24h
12-14,0.8676633773639418,0.7368592591879739,1.0216872856401897,0.0886393725550495,clean / completed 24h,clean,completed 24h
04-06,0.8459975000566147,0.743157860875832,0.963068289768954,0.011437860952931282,clean / completed 24h,clean,completed 24h
10-12,0.8302102321189718,0.7054482741623597,0.9770369490710608,0.025119265425915967,clean / completed 24h,clean,completed 24h
02-04,0.8064126718472481,0.7139822387137226,0.910808927806622,0.0005321022979377265,clean / completed 24h,clean,completed 24h
06-08,0.797759057356384,0.6713171597999545,0.9480161564524772,0.010279354743258716,clean / completed 24h,clean,completed 24h
