hospitalid,n_stays,excluded_share,median_count,median_count_eligible
63,788,0.0038071065989847717,47.0,48.0
66,565,0.005309734513274336,51.0,51.5
71,557,0.00718132854578097,41.0,41.0
73,5086,0.002162799842705466,45.0,45.0
79,910,0.0032967032967032967,42.0,42.0
110,1387,0.006488824801730353,19.0,20.0
122,2309,0.006929406669553919,26.0,26.0
141,1187,0.0,24.0,24.0
142,1314,0.00228310502283105,25.0,25.0
144,507,0.0039447731755424065,24.0,24.0
146,796,0.016331658291457288,25.0,25.0
148,1407,0.0014214641080312722,32.0,32.0
152,737,0.0013568521031207597,35.0,35.5
154,745,0.006711409395973154,33.0,33.0
157,907,0.006615214994487321,43.0,44.0
165,1264,0.003955696202531646,39.0,39.0
167,2584,0.0042569659442724455,43.0,43.0
171,1115,0.017040358744394617,26.0,27.0
176,1875,0.0026666666666666666,35.0,35.0
181,652,0.0015337423312883436,48.0,48.0
183,1562,0.13636363636363635,25.0,26.0
184,668,0.0,35.0,35.0
188,2707,0.004802364240857037,24.0,24.0
195,936,0.2553418803418803,30.0,33.0
197,1402,0.4536376604850214,23.0,29.0
198,522,0.3505747126436782,29.0,37.0
199,2856,0.004201680672268907,24.0,24.0
202,532,0.0,27.0,27.0
206,659,0.0,27.0,27.0
208,2436,0.005336617405582923,12.0,12.0
217,1021,0.7355533790401567,0.0,28.0
220,500,0.714,0.0,35.0
226,927,0.006472491909385114,36.0,36.0
227,1057,0.00946073793755913,32.0,32.0
243,3123,0.01697086135126481,29.0,29.0
244,824,0.01820388349514563,21.0,21.0
248,1294,0.019319938176197836,44.0,45.0
252,2539,0.005120126033871603,28.0,28.5
256,543,0.36279926335174956,3.0,5.0
264,4106,0.005114466634193863,36.0,36.0
269,517,0.20309477756286268,3.0,3.0
271,633,0.2717219589257504,3.0,3.0
272,837,0.2616487455197133,3.0,3.0
277,1056,0.23484848484848486,3.0,4.0
280,837,0.24731182795698925,3.0,3.0
281,1959,0.33843797856049007,3.0,3.0
282,580,0.296551724137931,3.0,4.0
283,1540,0.2649350649350649,3.0,4.0
300,2719,0.0003677822728944465,30.0,30.0
301,650,0.027692307692307693,7.0,7.0
307,1280,0.0,53.0,53.0
310,848,0.0,48.0,48.0
318,791,0.0025284450063211127,52.0,52.0
331,1313,0.0007616146230007616,49.0,49.0
336,734,0.0,74.0,74.0
338,3206,0.002495321272613849,65.0,65.0
345,1341,0.0007457121551081282,59.0,59.5
365,1251,1.0,0.0,
382,971,0.874356333676622,0.0,3.0
384,640,0.003125,51.0,51.0
388,773,0.00258732212160414,57.0,57.0
390,932,0.0,45.0,45.0
391,700,0.8371428571428572,0.0,4.0
392,567,0.0,31.0,31.0
394,1421,0.00211118930330753,30.0,30.0
400,1193,0.0,88.0,88.0
403,746,0.7868632707774799,1.0,4.0
407,509,0.3280943025540275,15.0,26.0
411,1803,0.0011092623405435386,27.0,27.0
413,1346,0.0014858841010401188,47.5,48.0
416,1558,0.051347881899871634,6.0,6.0
417,1384,0.014450867052023121,9.0,9.0
420,3770,0.001326259946949602,27.0,27.0
435,979,0.0030643513789581204,33.0,33.0
440,1167,0.002570694087403599,23.0,23.0
443,2916,0.0,27.0,27.0
444,872,0.0,18.0,18.0
449,1650,0.0,33.0,33.0
452,575,0.0,90.0,90.0
458,2835,0.001763668430335097,31.0,31.0
