cohort,metric,eta2_hospital,hosp_lo,hosp_hi,eta2_unit,unit_lo,unit_hi,n_stays,n_hospitals
unrestricted,Record count,0.44107029538776676,0.3528993826905941,0.5270979997315891,0.03672155680708489,0.016757401728312263,0.058662044991384714,96518,68
unrestricted,Median interval,0.7625310312478437,0.6148306427367429,0.8067385257133419,0.004797208935089503,0.0023101299825706912,0.011554207168374495,96518,68
unrestricted,Interval IQR,0.4704027486116063,0.29482241858671804,0.5586911608258994,0.013659324887170865,0.005064161077494598,0.02632823953248529,96518,68
unrestricted,Longest interval,0.5863936778295272,0.375898602957954,0.6935998797939266,0.014285154965753888,0.004460820269444085,0.029792722043367748,96518,68
unrestricted,Gaps > 2 h,0.4676028535299934,0.29554450645971264,0.5941235988215084,0.025138057960744864,0.00755559369223468,0.05308662163445225,96518,68
unrestricted,Fraction of window in gaps,0.6210738635325898,0.4232694177331894,0.7271272550225701,0.016982324054795717,0.004436947295777829,0.03972521196293595,96518,68
restricted,Record count,0.3538537167590392,0.25933523561689176,0.45014268989145895,0.04281107637104631,0.02159333681726014,0.0675901062541231,88560,60
restricted,Median interval,0.25075505847156543,0.15301708575513812,0.38233711680011717,0.03078908050085183,0.013459560558652531,0.049922871525267386,88560,60
restricted,Interval IQR,0.1402648680085552,0.08185166429298092,0.2009451090263981,0.04408605041017655,0.01982874658395184,0.07117409636992149,88560,60
restricted,Longest interval,0.13394473747836808,0.07895256876166377,0.18673457012359448,0.03882077765854289,0.013425022703225988,0.07155702665822344,88560,60
restricted,Gaps > 2 h,0.21757410236752112,0.12281056869456924,0.30574060663258557,0.04208531731417303,0.013595896373921031,0.08382611548527304,88560,60
restricted,Fraction of window in gaps,0.20813029477426465,0.11398465135257793,0.29745057166531746,0.04206047617668035,0.013673685303728082,0.08478923668869459,88560,60
