hospitalid,unrestricted_interval,unrestricted_count
63,15.0,48.0
66,15.0,51.5
71,30.0,41.0
73,19.5,45.0
79,30.0,42.0
110,48.0,20.0
122,60.0,26.0
141,60.0,24.0
142,60.0,25.0
144,60.0,24.0
146,60.0,25.0
148,60.0,32.0
152,33.25,35.5
154,53.5,33.0
157,30.0,44.0
165,30.0,39.0
167,30.0,43.0
171,60.0,27.0
176,42.25,35.0
181,15.0,48.0
183,60.0,26.0
184,30.0,35.0
188,60.0,24.0
195,50.0,33.0
197,60.0,29.0
199,60.0,24.0
202,60.0,27.0
206,60.0,27.0
208,120.0,12.0
226,31.0,36.0
227,60.0,32.0
243,58.5,29.0
244,60.0,21.0
248,27.5,45.0
252,60.0,28.5
264,30.0,36.0
272,423.0,3.0
277,414.0,4.0
280,419.75,3.0
281,431.25,3.0
283,408.5,4.0
300,60.0,30.0
301,240.0,7.0
307,15.0,53.0
310,30.0,48.0
318,15.0,52.0
331,15.0,49.0
336,15.0,74.0
338,15.0,65.0
345,15.0,59.5
384,15.0,51.0
388,15.0,57.0
390,15.75,45.0
392,57.5,31.0
394,60.0,30.0
400,15.0,88.0
411,60.0,27.0
413,15.0,48.0
416,240.0,6.0
417,151.25,9.0
420,60.0,27.0
435,59.0,33.0
440,60.0,23.0
443,60.0,27.0
444,63.0,18.0
449,51.75,33.0
452,15.0,90.0
458,60.0,31.0
