bin,OR,lo,hi,p,model,careunit
08-10,1.7720173362743588,1.3210721393726153,2.3768917279173714,0.0001343880683346745,    Cardiac Vascular Intensive Care Un,Cardiac Vascular Intensive Care Unit (CVICU)
06-08,1.2965496162010903,0.7859215644138506,2.138942336472132,0.3092480754546493,    Cardiac Vascular Intensive Care Un,Cardiac Vascular Intensive Care Unit (CVICU)
12-14,1.2176969417859949,0.8841627034143014,1.6770508825004804,0.22778611983746533,    Cardiac Vascular Intensive Care Un,Cardiac Vascular Intensive Care Unit (CVICU)
10-12,1.1958180210534808,0.8903801983234707,1.6060338517959245,0.23467860752753378,    Cardiac Vascular Intensive Care Un,Cardiac Vascular Intensive Care Unit (CVICU)
14-16,1.103755325158143,0.7906083218154188,1.5409347260822097,0.5620051920672317,    Cardiac Vascular Intensive Care Un,Cardiac Vascular Intensive Care Unit (CVICU)
16-18,0.9204008112791432,0.6330006084426875,1.33828884538901,0.6640777438879144,    Cardiac Vascular Intensive Care Un,Cardiac Vascular Intensive Care Unit (CVICU)
22-24,0.9091816310578379,0.5714342632382127,1.4465552582876933,0.6878076867388374,    Cardiac Vascular Intensive Care Un,Cardiac Vascular Intensive Care Unit (CVICU)
20-22,0.8001258215293645,0.5119935395318095,1.2504090009875322,0.32762015231532604,    Cardiac Vascular Intensive Care Un,Cardiac Vascular Intensive Care Unit (CVICU)
00-02,0.7019667400939748,0.4125896459683937,1.1943036113802754,0.19185981421877218,    Cardiac Vascular Intensive Care Un,Cardiac Vascular Intensive Care Unit (CVICU)
02-04,0.7002839995919447,0.38935082318263686,1.2595265012563095,0.23422128392677366,    Cardiac Vascular Intensive Care Un,Cardiac Vascular Intensive Care Unit (CVICU)
04-06,0.5685935238675337,0.30139747430399166,1.072665244228352,0.08127024422160459,    Cardiac Vascular Intensive Care Un,Cardiac Vascular Intensive Care Unit (CVICU)
06-08,1.1981616008118479,0.8107681447283752,1.7706556812749026,0.3642722192252744,    Coronary Care Unit (CCU),Coronary Care Unit (CCU)
12-14,1.0979480065588771,0.8145344382377974,1.4799740422450725,0.539623034241292,    Coronary Care Unit (CCU),Coronary Care Unit (CCU)
08-10,1.0715990709156527,0.7493653752687163,1.5323960869896212,0.7047408679016827,    Coronary Care Unit (CCU),Coronary Care Unit (CCU)
14-16,1.053812077636011,0.7794099682457811,1.4248212625134549,0.7334199896539136,    Coronary Care Unit (CCU),Coronary Care Unit (CCU)
10-12,1.0388631280236353,0.7487042827532222,1.4414724526462679,0.8195304484436552,    Coronary Care Unit (CCU),Coronary Care Unit (CCU)
00-02,0.9920065133518912,0.7004900103340973,1.4048407657708386,0.9639419888582715,    Coronary Care Unit (CCU),Coronary Care Unit (CCU)
22-24,0.9828150591662799,0.7053826141554019,1.3693638333864808,0.9184139570172775,    Coronary Care Unit (CCU),Coronary Care Unit (CCU)
04-06,0.9508945669967915,0.6331199390989316,1.428166168373865,0.80829175353181,    Coronary Care Unit (CCU),Coronary Care Unit (CCU)
20-22,0.9371751351583807,0.6833205921416685,1.2853369912450074,0.6872688387581851,    Coronary Care Unit (CCU),Coronary Care Unit (CCU)
16-18,0.9158482181999872,0.6825860058082827,1.228823842919039,0.557811263927515,    Coronary Care Unit (CCU),Coronary Care Unit (CCU)
02-04,0.9061927565177671,0.6158572855298715,1.3334019605836722,0.6171764210045745,    Coronary Care Unit (CCU),Coronary Care Unit (CCU)
16-18,1.1323208124914224,0.9283005950564357,1.38118022247232,0.2202077436000296,    Medical Intensive Care Unit (MICU),Medical Intensive Care Unit (MICU)
08-10,0.9930326181217921,0.7534499160539505,1.308798049667857,0.9604151571557027,    Medical Intensive Care Unit (MICU),Medical Intensive Care Unit (MICU)
20-22,0.9715573146065483,0.7988800197648237,1.181558672406605,0.7725793092896185,    Medical Intensive Care Unit (MICU),Medical Intensive Care Unit (MICU)
14-16,0.9588229487513934,0.7664701626894549,1.1994484479688743,0.7128229821252416,    Medical Intensive Care Unit (MICU),Medical Intensive Care Unit (MICU)
22-24,0.9188995310095703,0.7507205409698438,1.1247545551354865,0.41217870972166826,    Medical Intensive Care Unit (MICU),Medical Intensive Care Unit (MICU)
10-12,0.9161529987899574,0.6985427299052489,1.201553292674995,0.526790525824306,    Medical Intensive Care Unit (MICU),Medical Intensive Care Unit (MICU)
