bin,OR,lo,hi,p,model,exposure,restriction
04-06,3.3398676811670645,3.0005767617574466,3.7175240006760943,7.099039879871664e-108,contaminated / all stays,contaminated,all stays
06-08,3.1258808949862775,2.784117961863036,3.5095967568492337,6.1888242631875986e-83,contaminated / all stays,contaminated,all stays
02-04,3.113520636329057,2.809594572694006,3.4503237040181576,3.7535937552614773e-104,contaminated / all stays,contaminated,all stays
00-02,2.8627149743078917,2.59487496882465,3.158201116656739,8.932939672394985e-98,contaminated / all stays,contaminated,all stays
22-24,2.24057215453225,2.0300766613659986,2.4728935981596476,8.309216094558215e-58,contaminated / all stays,contaminated,all stays
08-10,1.5401619553010246,1.3618031341383998,1.7418808850498646,6.0857546530717015e-12,contaminated / all stays,contaminated,all stays
20-22,1.5183624198138352,1.371924377147505,1.6804311347658587,6.972547164378707e-16,contaminated / all stays,contaminated,all stays
10-12,1.044216086394685,0.91721686083505,1.1887998156648851,0.5131545219411799,contaminated / all stays,contaminated,all stays
12-14,0.824244680688558,0.7185762830543265,0.9454518743029818,0.005757288432629214,contaminated / all stays,contaminated,all stays
14-16,0.7435755260748669,0.6520987191982719,0.8478847553285921,9.706129029675951e-06,contaminated / all stays,contaminated,all stays
16-18,0.7404209430507988,0.6567105069911131,0.8348018907449168,9.122951274201523e-07,contaminated / all stays,contaminated,all stays
06-08,0.9877766570890663,0.8889577314145115,1.0975805595812866,0.8191141091037059,contaminated / completed 24h,contaminated,completed 24h
08-10,0.6168656908974509,0.5621737592896328,0.6768784104886393,2.005963918589863e-24,contaminated / completed 24h,contaminated,completed 24h
16-18,0.5948559332131282,0.5465775911466649,0.647398625575762,2.5357387543052123e-33,contaminated / completed 24h,contaminated,completed 24h
20-22,0.5703418579105368,0.5236673769053026,0.621176436094217,5.109246812450865e-38,contaminated / completed 24h,contaminated,completed 24h
04-06,0.5411110854445347,0.4839567319313609,0.6050152575054791,4.150587190653812e-27,contaminated / completed 24h,contaminated,completed 24h
22-24,0.49136273895834387,0.44780710108026917,0.5391547848486844,6.885068553343749e-51,contaminated / completed 24h,contaminated,completed 24h
02-04,0.4807906601705808,0.4324816780073729,0.5344958426269382,7.438126853062896e-42,contaminated / completed 24h,contaminated,completed 24h
14-16,0.4661564163748992,0.4242996174085084,0.512142353214224,6.317989441055899e-57,contaminated / completed 24h,contaminated,completed 24h
10-12,0.4470582286880221,0.40667990473080035,0.49144562471059117,2.2130906629475403e-62,contaminated / completed 24h,contaminated,completed 24h
00-02,0.4464077960912544,0.40422507902361177,0.49299247066115504,4.234406405628652e-57,contaminated / completed 24h,contaminated,completed 24h
12-14,0.4243359138785563,0.383729788297062,0.4692389626727558,1.2382981610066785e-62,contaminated / completed 24h,contaminated,completed 24h
04-06,3.671569291529251,3.2934242033918535,4.093132323682234,1.224411371169171e-121,clean / all stays,clean,all stays
06-08,3.387609583308131,3.0114603227973276,3.810742118050287,8.939088305722754e-92,clean / all stays,clean,all stays
02-04,3.3100700063835613,2.981569346236121,3.674763916187774,1.4089693875262729e-111,clean / all stays,clean,all stays
00-02,2.720031754970591,2.4584931192831494,3.0093933108934956,7.741854581323485e-84,clean / all stays,clean,all stays
22-24,2.0537116130542623,1.8545320942125332,2.274283309928299,1.7742089344218899e-43,clean / all stays,clean,all stays
08-10,1.7297832642381652,1.525555802903491,1.9613508306570482,1.243372836946278e-17,clean / all stays,clean,all stays
20-22,1.4357912234867256,1.2938202370530607,1.5933406963373729,9.815399309336682e-12,clean / all stays,clean,all stays
10-12,1.2022251036879883,1.053680284970114,1.3717113440900996,0.006199474927916115,clean / all stays,clean,all stays
12-14,0.919189971097037,0.8006626440617148,1.0552636734482723,0.23158392281832407,clean / all stays,clean,all stays
14-16,0.859525901540528,0.755541104297729,0.9778220817062674,0.021399659097882457,clean / all stays,clean,all stays
16-18,0.8580382427757501,0.7629370747886423,0.9649939036842011,0.010634466753125679,clean / all stays,clean,all stays
08-10,1.2505911816367654,1.1302798037699935,1.3837089704434844,1.4714367542420554e-05,clean / completed 24h,clean,completed 24h
22-24,1.0293210534422461,0.9317462711256694,1.1371141091656214,0.5695419398880611,clean / completed 24h,clean,completed 24h
20-22,0.9874876051276521,0.8973906714734897,1.0866301615099334,0.7964470922153318,clean / completed 24h,clean,completed 24h
16-18,0.9858384739026351,0.8957891302566329,1.0849400420255662,0.7704099819371188,clean / completed 24h,clean,completed 24h
10-12,0.9482364359346185,0.8564422745668541,1.0498691682270522,0.3062331445444898,clean / completed 24h,clean,completed 24h
14-16,0.8980415252246423,0.8107528828603138,0.9947279844168643,0.03927593678872315,clean / completed 24h,clean,completed 24h
12-14,0.8847996589879269,0.7950606435030473,0.984667575916995,0.024887723022659475,clean / completed 24h,clean,completed 24h
00-02,0.8662420243708485,0.7789700720673154,0.9632914943634207,0.008043567048920999,clean / completed 24h,clean,completed 24h
06-08,0.8502031861658674,0.7433077570559246,0.9724712959133127,0.01792558790955354,clean / completed 24h,clean,completed 24h
02-04,0.8288931660382245,0.7384541059861423,0.930408369505044,0.0014542981063119065,clean / completed 24h,clean,completed 24h
04-06,0.7424267767985343,0.6531153012911869,0.8439513173520232,5.253905359521065e-06,clean / completed 24h,clean,completed 24h
