cohort,outcome,role,residual,adjustment,OR,OR_lo,OR_hi,p,spec,n,harm,percentile,cutoff,rate
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,full,1.1108480268948226,1.076593887297545,1.1461920352842179,4.7619334128312343e-11,continuous_per_SD,83372,False,,,
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,full,0.7138632257583998,0.5946458877931411,0.856981803038151,0.00029983328482732237,bottom_5pct,83372,False,5.0,-0.5286843052472039,0.05000479777383294
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,full,0.6784739353914175,0.5960560540705861,0.772287904571815,4.3465059185066314e-09,bottom_10pct,83372,False,10.0,-0.30777485108327585,0.10000959554766588
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,full,0.7165363869306576,0.6484170865098751,0.7918119440053062,6.153996516254094e-11,bottom_15pct,83372,False,15.0,-0.18991391543224923,0.15000239888691647
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,full,0.75216245614258,0.6929742903451984,0.8164059883789001,9.710517144604801e-12,bottom_20pct,83372,False,20.0,-0.11868132055373026,0.20000719666074943
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,full,0.7892590224095779,0.7356168626382227,0.8468128397992968,4.3947333032508294e-11,bottom_25pct,83372,False,25.0,-0.07474433028271932,0.25
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,full,1.0420735514010953,0.9991714707366192,1.0868177468369071,0.05469111766465049,continuous_per_SD,30485,False,,,
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,full,0.9962447334904497,0.7622469431999964,1.3020761550591704,0.9780261541719627,bottom_5pct,30485,False,5.0,-0.34022447586429855,0.050024602263408234
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,full,0.9271464422939966,0.7845551555161335,1.0956534023320663,0.3746445504752266,bottom_10pct,30485,False,10.0,-0.2246864578466022,0.10001640150893883
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,full,0.865390433065391,0.758481605474979,0.9873681790504673,0.03164107185571636,bottom_15pct,30485,False,15.0,-0.17094744884754737,0.1500082007544694
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,full,0.8571550785973158,0.7661263386111223,0.9589995693100746,0.0071279085575076855,bottom_20pct,30485,False,20.0,-0.13710190539596762,0.2
MIMIC,hospital_mortality,PRIMARY (matched),sensitivity_invMAP,full,0.8610596613503609,0.7787437903286056,0.9520766003051409,0.0035241566050729545,bottom_25pct,30485,False,25.0,-0.1105946898527499,0.2500246022634082
MIMIC,hospital_mortality,PRIMARY (matched),legacy,full,1.09703186938287,1.0670874813033402,1.1278165506840596,5.4345025768132126e-11,continuous_per_SD,83066,False,,,
MIMIC,hospital_mortality,PRIMARY (matched),legacy,full,0.7891063351103312,0.6726318634989091,0.9257497925717404,0.0036513731105191037,bottom_5pct,83066,False,5.0,-0.4467195412816052,0.05000842703392483
MIMIC,hospital_mortality,PRIMARY (matched),legacy,full,0.7944251206811258,0.7166540398824925,0.8806358957701579,1.1970080049869437e-05,bottom_10pct,83066,False,10.0,-0.27854027694082495,0.10000481544795704
MIMIC,hospital_mortality,PRIMARY (matched),legacy,full,0.8013110536092305,0.7387506312179745,0.8691693482247306,9.255731477797728e-08,bottom_15pct,83066,False,15.0,-0.19938243613645024,0.15000120386198926
MIMIC,hospital_mortality,PRIMARY (matched),legacy,full,0.833099723620706,0.7768072372516057,0.8934715283453186,3.1274261935803104e-07,bottom_20pct,83066,False,20.0,-0.14450212603104662,0.2000096308959141
MIMIC,hospital_mortality,PRIMARY (matched),legacy,full,0.8242313897267967,0.7735145486666287,0.8782735696206766,2.4344262899051146e-09,bottom_25pct,83066,False,25.0,-0.10436708130358319,0.2500060193099463
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,minimal,1.4090831757166635,1.370920826771582,1.4483078506900366,2.3896341672329348e-132,continuous_per_SD,83372,False,,,
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,minimal,0.37215509898484334,0.315366487770465,0.43916973765843936,1.2668523441340871e-31,bottom_5pct,83372,False,5.0,-0.5286843052472039,0.05000479777383294
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,minimal,0.3494835910132066,0.3101302275737357,0.39383062187463447,1.1605762594494381e-66,bottom_10pct,83372,False,10.0,-0.30777485108327585,0.10000959554766588
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,minimal,0.4070585734623837,0.37132259242806825,0.44623377518115664,6.374342810933581e-82,bottom_15pct,83372,False,15.0,-0.18991391543224923,0.15000239888691647
MIMIC,hospital_mortality,PRIMARY (matched),harmonised,minimal,0.47166241970433753,0.4374674285443104,0.5085302896757661,2.762318435673531e-85,bottom_20pct,83372,False,20.0,-0.11868132055373026,0.20000719666074943
