metric,component,seq_min,seq_max,seq_range,last_in,total_r2
n_records,database,0.0,0.026348613003042632,0.026348613003042632,0.0,0.48373961615205624
n_records,hospital,0.0,0.45538940648204806,0.45538940648204806,0.0,0.48373961615205624
n_records,unit,0.028350209670008175,0.48373961615205624,0.45538940648204806,0.028350209670008175,0.48373961615205624
median_interval_min,database,0.0,0.01620152827806051,0.01620152827806051,0.0,0.7625547267359958
median_interval_min,hospital,0.0,0.7588985083426668,0.7588985083426668,0.0,0.7625547267359958
median_interval_min,unit,0.0036562183933289694,0.7625547267359958,0.7588985083426668,0.0036562183933289694,0.7625547267359958
iqr_interval_min,database,0.0,0.04213482423924563,0.04213482423924563,0.0,0.4816495923096287
iqr_interval_min,hospital,0.0,0.4685248386202145,0.4685248386202145,0.0,0.4816495923096287
iqr_interval_min,unit,0.013124753689414237,0.4816495923096287,0.4685248386202145,0.013124753689414237,0.4816495923096287
max_interval_min,database,0.0,0.063327708783771,0.063327708783771,0.0,0.6069989988835978
max_interval_min,hospital,0.0,0.5943010066111379,0.5943010066111379,0.0,0.6069989988835978
max_interval_min,unit,0.012697992272459824,0.6069989988835978,0.5943010066111379,0.012697992272459824,0.6069989988835978
n_gaps_gt2h,database,0.0,0.06587937816648722,0.06587937816648722,0.0,0.5405208234952525
n_gaps_gt2h,hospital,0.0,0.518626610959644,0.518626610959644,0.0,0.5405208234952525
n_gaps_gt2h,unit,0.021894212535608526,0.5405208234952525,0.518626610959644,0.021894212535608526,0.5405208234952525
frac_time_in_gaps,database,0.0,0.07082448063432627,0.07082448063432627,0.0,0.6702424706246197
frac_time_in_gaps,hospital,0.0,0.6565951686107852,0.6565951686107852,0.0,0.6702424706246197
frac_time_in_gaps,unit,0.013647302013834572,0.6702424706246197,0.6565951686107852,0.013647302013834572,0.6702424706246197
