mimic_unit,metric,mimic_value,eicu_p10,eicu_median,eicu_p90,percentile,pctile_lo,pctile_hi,n_eicu_units
Cardiac Vascular Intensive Care Unit (CVICU),n_records,27.0,6.0,28.0,52.30000000000001,0.4117647058823529,0.4117647058823529,0.47058823529411764,238
Cardiac Vascular Intensive Care Unit (CVICU),t_first_h,2.5719444444444446,0.13333333333333333,0.21666666666666667,0.47166666666666685,1.0,1.0,1.0,238
Cardiac Vascular Intensive Care Unit (CVICU),median_interval_min,60.0,15.0,60.0,240.0,0.3739495798319328,0.3739495798319328,0.3739495798319328,238
Cardiac Vascular Intensive Care Unit (CVICU),iqr_interval_min,30.0,0.0,15.0,60.900000000000034,0.6722689075630253,0.6554621848739496,0.6722689075630253,238
Cardiac Vascular Intensive Care Unit (CVICU),max_interval_min,60.000000000000114,60.0,105.0,280.6,0.23109243697478993,0.23109243697478993,0.23109243697478993,238
Cardiac Vascular Intensive Care Unit (CVICU),n_gaps_gt30m,19.0,3.0,14.0,21.0,0.7436974789915967,0.7436974789915967,0.7436974789915967,238
Cardiac Vascular Intensive Care Unit (CVICU),n_gaps_gt2h,0.0,0.0,0.0,2.0,0.0,0.0,0.0,238
Cardiac Vascular Intensive Care Unit (CVICU),frac_time_in_gaps,0.0,0.0,0.0,0.760625,0.0,0.0,0.0,238
Coronary Care Unit (CCU),n_records,26.0,6.0,28.0,52.30000000000001,0.36134453781512604,0.36134453781512604,0.36134453781512604,238
Coronary Care Unit (CCU),t_first_h,0.23333333333333334,0.13333333333333333,0.21666666666666667,0.47166666666666685,0.5084033613445378,0.4579831932773109,0.5714285714285714,238
Coronary Care Unit (CCU),median_interval_min,60.0,15.0,60.0,240.0,0.3739495798319328,0.3739495798319328,0.3739495798319328,238
Coronary Care Unit (CCU),iqr_interval_min,0.0,0.0,15.0,60.900000000000034,0.0,0.0,0.0,238
Coronary Care Unit (CCU),max_interval_min,60.000000000000114,60.0,105.0,280.6,0.23109243697478993,0.23109243697478993,0.23109243697478993,238
Coronary Care Unit (CCU),n_gaps_gt30m,22.0,3.0,14.0,21.0,0.9369747899159664,0.9369747899159664,0.9369747899159664,238
Coronary Care Unit (CCU),n_gaps_gt2h,0.0,0.0,0.0,2.0,0.0,0.0,0.0,238
Coronary Care Unit (CCU),frac_time_in_gaps,0.0,0.0,0.0,0.760625,0.0,0.0,0.0,238
Medical Intensive Care Unit (MICU),n_records,25.0,6.0,28.0,52.30000000000001,0.31512605042016806,0.31512605042016806,0.31512605042016806,238
Medical Intensive Care Unit (MICU),t_first_h,0.25,0.13333333333333333,0.21666666666666667,0.47166666666666685,0.5714285714285714,0.5698529411764706,0.5714285714285714,238
Medical Intensive Care Unit (MICU),median_interval_min,60.0,15.0,60.0,240.0,0.3739495798319328,0.3739495798319328,0.3739495798319328,238
Medical Intensive Care Unit (MICU),iqr_interval_min,0.0,0.0,15.0,60.900000000000034,0.0,0.0,0.0,238
Medical Intensive Care Unit (MICU),max_interval_min,60.000000000000114,60.0,105.0,280.6,0.23109243697478993,0.23109243697478993,0.23109243697478993,238
Medical Intensive Care Unit (MICU),n_gaps_gt30m,22.0,3.0,14.0,21.0,0.9369747899159664,0.9369747899159664,0.9369747899159664,238
Medical Intensive Care Unit (MICU),n_gaps_gt2h,0.0,0.0,0.0,2.0,0.0,0.0,0.0,238
Medical Intensive Care Unit (MICU),frac_time_in_gaps,0.0,0.0,0.0,0.760625,0.0,0.0,0.0,238
Medical/Surgical Intensive Care Unit (MICU/SICU),n_records,25.0,6.0,28.0,52.30000000000001,0.31512605042016806,0.31512605042016806,0.31512605042016806,238
Medical/Surgical Intensive Care Unit (MICU/SICU),t_first_h,0.3333333333333333,0.13333333333333333,0.21666666666666667,0.47166666666666685,0.7310924369747899,0.726890756302521,0.7605042016806722,238
Medical/Surgical Intensive Care Unit (MICU/SICU),median_interval_min,60.0,15.0,60.0,240.0,0.3739495798319328,0.3739495798319328,0.3739495798319328,238
Medical/Surgical Intensive Care Unit (MICU/SICU),iqr_interval_min,0.0,0.0,15.0,60.900000000000034,0.0,0.0,0.0,238
Medical/Surgical Intensive Care Unit (MICU/SICU),max_interval_min,60.000000000000114,60.0,105.0,280.6,0.23109243697478993,0.23109243697478993,0.23109243697478993,238
Medical/Surgical Intensive Care Unit (MICU/SICU),n_gaps_gt30m,22.0,3.0,14.0,21.0,0.9369747899159664,0.9369747899159664,0.9369747899159664,238
Medical/Surgical Intensive Care Unit (MICU/SICU),n_gaps_gt2h,0.0,0.0,0.0,2.0,0.0,0.0,0.0,238
Medical/Surgical Intensive Care Unit (MICU/SICU),frac_time_in_gaps,0.0,0.0,0.0,0.760625,0.0,0.0,0.0,238
Neuro Intermediate,n_records,24.0,6.0,28.0,52.30000000000001,0.2689075630252101,0.2689075630252101,0.2689075630252101,238
Neuro Intermediate,t_first_h,0.25,0.13333333333333333,0.21666666666666667,0.47166666666666685,0.5714285714285714,0.5714285714285714,0.6092436974789915,238
Neuro Intermediate,median_interval_min,60.0,15.0,60.0,240.0,0.3739495798319328,0.3739495798319328,0.3739495798319328,238
Neuro Intermediate,iqr_interval_min,1.1368683772161603e-13,0.0,15.0,60.900000000000034,0.23949579831932774,0.23949579831932774,0.23949579831932774,238
Neuro Intermediate,max_interval_min,120.0,60.0,105.0,280.6,0.5210084033613446,0.5210084033613446,0.5210084033613446,238
Neuro Intermediate,n_gaps_gt30m,19.0,3.0,14.0,21.0,0.7436974789915967,0.7436974789915967,0.7773109243697479,238
Neuro Intermediate,n_gaps_gt2h,0.0,0.0,0.0,2.0,0.0,0.0,0.0,238
Neuro Intermediate,frac_time_in_gaps,0.0,0.0,0.0,0.760625,0.0,0.0,0.0,238
Neuro Stepdown,n_records,23.0,6.0,28.0,52.30000000000001,0.25630252100840334,0.25630252100840334,0.2689075630252101,238
Neuro Stepdown,t_first_h,0.25,0.13333333333333333,0.21666666666666667,0.47166666666666685,0.5714285714285714,0.5084033613445378,0.6092436974789915,238
Neuro Stepdown,median_interval_min,60.0,15.0,60.0,240.0,0.3739495798319328,0.3739495798319328,0.3739495798319328,238
Neuro Stepdown,iqr_interval_min,1.4210854715202004e-14,0.0,15.0,60.900000000000034,0.23949579831932774,0.0,0.23949579831932774,238
Neuro Stepdown,max_interval_min,120.0,60.0,105.0,280.6,0.5210084033613446,0.5210084033613446,0.5210084033613446,238
Neuro Stepdown,n_gaps_gt30m,20.0,3.0,14.0,21.0,0.7773109243697479,0.7773109243697479,0.7773109243697479,238
Neuro Stepdown,n_gaps_gt2h,0.0,0.0,0.0,2.0,0.0,0.0,0.0,238
Neuro Stepdown,frac_time_in_gaps,0.0,0.0,0.0,0.760625,0.0,0.0,0.0,238
Neuro Surgical Intensive Care Unit (Neuro SICU),n_records,26.0,6.0,28.0,52.30000000000001,0.36134453781512604,0.36134453781512604,0.36134453781512604,238
Neuro Surgical Intensive Care Unit (Neuro SICU),t_first_h,0.26555555555555554,0.13333333333333333,0.21666666666666667,0.47166666666666685,0.6092436974789915,0.5714285714285714,0.6386554621848739,238
Neuro Surgical Intensive Care Unit (Neuro SICU),median_interval_min,60.0,15.0,60.0,240.0,0.3739495798319328,0.3739495798319328,0.3739495798319328,238
Neuro Surgical Intensive Care Unit (Neuro SICU),iqr_interval_min,0.0,0.0,15.0,60.900000000000034,0.0,0.0,0.0,238
Neuro Surgical Intensive Care Unit (Neuro SICU),max_interval_min,69.0,60.0,105.0,280.6,0.27310924369747897,0.2605042016806723,0.2857142857142857,238
Neuro Surgical Intensive Care Unit (Neuro SICU),n_gaps_gt30m,22.0,3.0,14.0,21.0,0.9369747899159664,0.9369747899159664,0.9369747899159664,238
Neuro Surgical Intensive Care Unit (Neuro SICU),n_gaps_gt2h,0.0,0.0,0.0,2.0,0.0,0.0,0.0,238
Neuro Surgical Intensive Care Unit (Neuro SICU),frac_time_in_gaps,0.0,0.0,0.0,0.760625,0.0,0.0,0.0,238
OTHER,n_records,25.0,6.0,28.0,52.30000000000001,0.31512605042016806,0.31512605042016806,0.36134453781512604,238
OTHER,t_first_h,0.25,0.13333333333333333,0.21666666666666667,0.47166666666666685,0.5714285714285714,0.3949579831932773,0.6638655462184874,238
OTHER,median_interval_min,60.0,15.0,60.0,240.0,0.3739495798319328,0.3739495798319328,0.3739495798319328,238
OTHER,iqr_interval_min,0.0,0.0,15.0,60.900000000000034,0.0,0.0,0.0,238
OTHER,max_interval_min,60.000000000000114,60.0,105.0,280.6,0.23109243697478993,0.23109243697478993,0.23109243697478993,238
