careunit,n_stays,n_records,t_first_h,median_interval_min,iqr_interval_min,max_interval_min,n_gaps_gt2h,n_gaps_gt4h,frac_time_in_gaps,on_the_hour_frac
Medical Intensive Care Unit (MICU),13880,25.0,0.25,60.0,0.0,60.000000000000114,0.0,0.0,0.0,0.92
Cardiac Vascular Intensive Care Unit (CVICU),12024,27.0,2.5719444444444446,60.0,30.0,60.000000000000114,0.0,0.0,0.0,0.7692307692307693
Medical/Surgical Intensive Care Unit (MICU/SICU),10495,25.0,0.3333333333333333,60.0,0.0,60.000000000000114,0.0,0.0,0.0,0.9130434782608695
Surgical Intensive Care Unit (SICU),9030,26.0,0.21666666666666667,60.0,0.0,61.0,0.0,0.0,0.0,0.8571428571428571
Coronary Care Unit (CCU),7666,26.0,0.23333333333333334,60.0,0.0,60.000000000000114,0.0,0.0,0.0,0.8846153846153846
Trauma SICU (TSICU),6987,26.0,0.21666666666666667,60.0,0.0,60.000000000000114,0.0,0.0,0.0,0.875
Neuro Intermediate,4480,24.0,0.25,60.0,1.1368683772161603e-13,120.0,0.0,0.0,0.0,0.8823529411764706
Neuro Surgical Intensive Care Unit (Neuro SICU),1352,26.0,0.26555555555555554,60.0,0.0,69.0,0.0,0.0,0.0,0.875
Neuro Stepdown,997,23.0,0.25,60.0,1.4210854715202004e-14,120.0,0.0,0.0,0.0,0.8846153846153846
OTHER,229,25.0,0.25,60.0,0.0,60.000000000000114,0.0,0.0,0.0,0.92
