items,k,exact_agreement,mean_diff,mean_abs_diff
220045+220046+220047,3,0.9931641198510671,0.007928211512937667,0.007928211512937667
220045+220046+220047+228194,4,0.9930466648656903,0.0028071741505068183,0.013049248875368515
220045+220046+220047+230037,4,0.9928822278861626,0.007505373565580991,0.008351049460294342
220045+220046+220047+229770,4,0.9920952794841377,0.0037350685349839675,0.012097863493815995
220045+220046+220047+223942,4,0.9865396586758125,-0.05258459695321768,0.0683705469878669
220045+220046+220047+223946,4,0.9779536992447645,-0.026274680228802312,0.04201364826930079
220045+220046+220047+223941,4,0.9769200953734481,-0.03206521100788123,0.047804179048379705
220045+220046+220047+223944,4,0.9717050940227158,-0.03468445718178508,0.05009455126322837
220045+220046+220047+223945,4,0.9715524025417259,-0.043176452624531646,0.058844947673804014
220045+220046+220047+223939,4,0.9710825826002185,-0.0361174080033827,0.05152750208482599
220045+220046+220047+223940,4,0.9682166809570232,-0.06302634515322003,0.07860087621419092
220045+220046+220047+223949,4,0.9552379050728809,-0.07365602132982535,0.089089606408344
220045+220046+220047+223938,4,0.9487074078859277,-0.08119663139101939,0.09646577949001045
220045+220047+223770,3,0.9379015492312571,0.029927530274022483,0.07075488319101704
220045+220047+223770+228194,4,0.9377840942458803,0.02480649291159163,0.07587592055344788
220045+220047+223770+230037,4,0.9376196572663527,0.029504692326665805,0.07117772113837371
220045+220046+223770,3,0.9373730017970613,0.03181855553858984,0.07144786760474048
220045+220046+223770+228194,4,0.9372555468116844,0.026697518176158987,0.07656890496717134
220045+220046+223770+230037,4,0.9370911098321568,0.03139571759123316,0.07187070555209715
220045+220047+223770+229770,4,0.9368679453599408,0.02573438729606878,0.07483057118359389
220045+220046+223770+229770,4,0.9363511434242826,0.027625412560636137,0.07552355559731733
220045+220047+223770+223942,4,0.9317586534960477,-0.030585278192132866,0.13065692573321275
220045+220046+223770+223942,4,0.9312535970589272,-0.02869425292756551,0.13132641914986082
220045+220047+223769,3,0.929021952336767,0.049659967817334005,0.08468504445671196
220045+220047+223769+228194,4,0.9289044973513901,0.04453893045490316,0.08980608181914282
220045+220047+223769+230037,4,0.9287400603718625,0.04923712986997733,0.08510788240406864
220045+220046+223769,3,0.9286578418820987,0.051550993081901364,0.08533104687628466
220045+220046+223769+228194,4,0.9285403868967218,0.04642995571947051,0.09045208423871551
220045+220046+223769+230037,4,0.9283759499171942,0.05112815513454468,0.08575388482364134
220045+220047+223769+229770,4,0.9280000939639883,0.045466824839380304,0.08873724145221344
220045+220046+223769+229770,4,0.9276242380107824,0.04735785010394766,0.08940673486886151
220045+220047+223770+223946,4,0.9239009149743361,-0.004275361467717498,0.10343086012285792
220045+220046+223770+223946,4,0.9233606220416025,-0.002384336203150143,0.10410035353950599
220045+220047+223770+223941,4,0.9229142930971705,-0.010065892246796415,0.10905695392240923
220045+220047+223769+223942,4,0.9229142930971705,-0.01085284064882134,0.1444696320135308
220045+220046+223769+223942,4,0.9225736736395777,-0.008961815384253984,0.14509214343602814
220045+220046+223770+223941,4,0.9224327276571254,-0.008174866982229061,0.10970295634198193
220045+223769+223770,3,0.9215048332726482,0.07355031184298617,0.1477818626011581
220045+223769+223770+228194,4,0.9213873782872714,0.06842927448055533,0.15290289996358897
220045+223769+223770+230037,4,0.9212229413077438,0.0731274738956295,0.14820470054851478
220045+223769+223770+229770,4,0.9204947203984073,0.06935716886503247,0.15176358660543346
220045+220047+223770+223944,4,0.9181221296937948,-0.012685138420700267,0.11087750619575047
220045+220047+223770+223945,4,0.9178637287259658,-0.021177133863446836,0.11981583058292909
220045+220046+223770+223944,4,0.9177345282420513,-0.010794113156132911,0.11145303562409707
220045+220047+223770+223939,4,0.9174761272742221,-0.014118089242297889,0.11235743901149885
220045+220046+223770+223945,4,0.9173234357932323,-0.01928610859887948,0.12048532399957716
220045+220046+223770+223939,4,0.9171120168195539,-0.012227063977730535,0.1127215494661671
220045+223769+223770+223942,4,0.9153854285345141,0.01303750337683083,0.2072140852018464
